								
	DÍA	MES	AÑO	HORA	CIUDAD	PAÍS	FORMA	
	7	6	2019	6:10	Langford (Canada)	Canadá	Luz
	7	6	2019	1:55	Clovis	EEUU	Luz
	6	6	2019	3:00	Roseville	EEUU	Luz
	5	6	2019	22:30	New Brunswick	EEUU	Luz
	5	6	2019	21:26	Artesia	EEUU	Luz
	5	6	2019	21:20	West Hills	EEUU	Luz
	5	6	2019	3:30	Mt. Calm	EEUU	Luz
	5	6	2019	0:31	Leavenworth	EEUU	Luz
	4	6	2019	22:17	Lincoln	EEUU	Luz
	3	6	2019	22:44:00	Louisville	EEUU	Luz
	3	6	2019	20:30	Patagonia	EEUU	Luz
	2	6	2019	23:15	Rockmart	EEUU	Luz
	2	6	2019	22:30	Trenton	EEUU	Luz
	2	6	2019	21:00	Boca Raton	EEUU	Luz
	1	6	2019	23:30	Tahlequah	EEUU	Luz
	1	6	2019	23:12	Lagos (Nigeria)	Nigeria	Luz
	1	6	2019	23:00	Uvalda	EEUU	Luz
	1	6	2019	20:00	Venice	EEUU	Luz
	1	6	2019	1:08	Boonville	EEUU	Luz
	31	5	2019	1:30	Seattle	EEUU	Luz
	31	5	2019	1:00	Sanger	EEUU	Luz
	30	5	2019	22:45	Hilton	EEUU	Luz
	29	5	2019	21:00	Bono	EEUU	Luz
	28	5	2019	23:30	Hampton	EEUU	Luz
	28	5	2019	1:00	Clifton Forge	EEUU	Luz
	27	5	2019	23:24	Sandown	EEUU	Luz
	27	5	2019	22:45	Baileys Harbour	EEUU	Luz
	27	5	2019	22:15	Burlington	EEUU	Luz
	27	5	2019	1:00	Red Deer (Canada)	Canadá	Luz
	27	5	2019	0:15	Flint	EEUU	Luz
	26	5	2019	23:40	NEW HAMBURG	Canadá	Luz
	26	5	2019	23:15	Cavendish	EEUU	Luz
	26	5	2019	23:00	Annville	EEUU	Luz
	26	5	2019	23:00	Owen	EEUU	Luz
	26	5	2019	22:50	Hudson	EEUU	Luz
	26	5	2019	22:50	Hudson	EEUU	Luz
	26	5	2019	22:40	Janesville	EEUU	Luz
	26	5	2019	22:30	Elroy	EEUU	Luz
	26	5	2019	22:15	Ventura	EEUU	Luz
	26	5	2019	22:14	Burnham	EEUU	Luz
	26	5	2019	22:00	Helen	EEUU	Luz
	26	5	2019	22:00	Rowve	EEUU	Luz
	26	5	2019	21:45	Lakewood	EEUU	Luz
	26	5	2019	21:40	Taos	EEUU	Luz
	26	5	2019	19:30	Puerto Penasco (Mexico)	México	Luz
	26	5	2019	1:30	Bonnyville (Canada)	Canadá	Luz
	26	5	2019	0:19	Grand Marais	EEUU	Luz
	26	5	2019	0:00	Ocean Shores	EEUU	Luz
	26	5	2019	0:00	Hulett	EEUU	Luz
	25	5	2019	23:30	Detroit lakes	EEUU	Luz
	25	5	2019	23:26	Sisseton	EEUU	Luz
	25	5	2019	22:50	Richmond	EEUU	Luz
	25	5	2019	22:30	Escalante	EEUU	Luz
	25	5	2019	22:11	Tazewell	EEUU	Luz
	25	5	2019	22:00	Benavides	EEUU	Luz
	25	5	2019	22:00	Denver	EEUU	Luz
	25	5	2019	21:30	Oakwood	EEUU	Luz
	25	5	2019	16:55	Las Vegas	EEUU	Luz
	25	5	2019	12:34	Taymouth (Canada)	Canadá	Luz
	25	5	2019	12:30	Saint John (Canada)	Canadá	Luz
	25	5	2019	2:03	Moreno valley	EEUU	Luz
	25	5	2019	0:41	Superior	EEUU	Luz
	25	5	2019	0:20	Little Falls	EEUU	Luz
	25	5	2019	0:00	Camp Verde	EEUU	Luz
	25	5	2019	0:00	Aurora	EEUU	Luz
	24	5	2019	23:45	Laconia	EEUU	Luz
	24	5	2019	23:36	Lebanon	EEUU	Luz
	24	5	2019	23:35	Stockholm	EEUU	Luz
	24	5	2019	23:00	Champlin	EEUU	Luz
	24	5	2019	22:00	Thornton	EEUU	Luz
	24	5	2019	20:15	Madison	EEUU	Luz
	24	5	2019	11:33	Barrington	EEUU	Luz
	24	5	2019	1:00	Groton	EEUU	Luz
	24	5	2019	0:14	Hazel green	EEUU	Luz
	23	5	2019	22:35	Kissimmee	EEUU	Luz
	23	5	2019	22:30	Rock Island	EEUU	Luz
	22	5	2019	13:27	St. Louis	EEUU	Luz
	21	5	2019	6:30	Corning	EEUU	Luz
	21	5	2019	1:00	Kent	EEUU	Luz
	20	5	2019	22:00	Davenport	EEUU	Luz
	19	5	2019	22:00	Spokane	EEUU	Luz
	19	5	2019	22:00	Spokane	EEUU	Luz
	19	5	2019	21:35	McDonough	EEUU	Luz
	19	5	2019	21:35	McDonough	EEUU	Luz
	19	5	2019	21:18	Hauula	EEUU	Luz
	18	5	2019	23:50	Martensville	EEUU	Luz
	18	5	2019	21:30	Warwick	EEUU	Luz
	18	5	2019	21:30	Warwick	EEUU	Luz
	17	5	2019	23:43	Auburn (Lakeland Hills)	EEUU	Luz
	17	5	2019	21:45	Cedar Run	EEUU	Luz
	17	5	2019	21:45	Panchkula (India)	India	Luz
	17	5	2019	10:00	Trenton	EEUU	Luz
	16	5	2019	22:10	Spokane	EEUU	Luz
	15	5	2019	4:40	Moyock	EEUU	Luz
	15	5	2019	3:24	New Haven	EEUU	Luz
	14	5	2019	22:00	Belle Fourche	EEUU	Luz
	14	5	2019	21:45	Myrtle Beach	EEUU	Luz
	14	5	2019	21:30	Murrell Inlet	EEUU	Luz
	14	5	2019	1:11	Ogden	EEUU	Luz
	13	5	2019	20:27	Springfield	EEUU	Luz
	13	5	2019	2:30	Seatac	EEUU	Luz
	12	5	2019	22:05	Vallejo	EEUU	Luz
	12	5	2019	21:45	Chante Lake (10 Km from Duck Lake)(Canada)	Canadá	Luz
	12	5	2019	5:45	Tideswell	Reino Unido	Luz
	11	5	2019	22:20	Rocky Point	EEUU	Luz
	11	5	2019	22:00	Brighton	EEUU	Luz
	11	5	2019	21:45	Spokane	EEUU	Luz
	11	5	2019	10:30	Clearfield	EEUU	Luz
	11	5	2019	0:00	Garner	EEUU	Luz
	10	5	2019	20:40	Pembroke Pines	EEUU	Luz
	10	5	2019	19:39	Salta (Argentina)	Argentina	Luz
	10	5	2019	1:40	Madison	EEUU	Luz
	10	5	2019	1:30	Bellingham (Sudden Valley)	EEUU	Luz
	9	5	2019	18:00	Woodbury	EEUU	Luz
	8	5	2019	23:00	Norfolk	EEUU	Luz
	8	5	2019	21:00	Twin Falls	EEUU	Luz
	8	5	2019	3:08	Stanwood	EEUU	Luz
	8	5	2019	1:00	Highlands	EEUU	Luz
	7	5	2019	8:45	Seattle	EEUU	Luz
	6	5	2019	22:45	Regina (Canada)	Canadá	Luz
	6	5	2019	21:00	Auburn	EEUU	Luz
	6	5	2019	1:35	Idaho Falls	EEUU	Luz
	5	5	2019	22:51	Scipio	EEUU	Luz
	5	5	2019	1:00	Lowell	EEUU	Luz
	3	5	2019	23:00	Grand Isle	EEUU	Luz
	3	5	2019	22:00	Cheraw	EEUU	Luz
	3	5	2019	21:30	Gibbstown	EEUU	Luz
	1	5	2019	22:00	Wichita Falls	EEUU	Luz
	1	5	2019	1:10	Vallejo	EEUU	Luz
	30	4	2019	22:00	Ajo	EEUU	Luz
	30	4	2019	21:00	Port Neches	EEUU	Luz
	29	4	2019	23:16	New Lexington	EEUU	Luz
	29	4	2019	19:50	Miami	EEUU	Luz
	29	4	2019	13:30	Bowling Green	EEUU	Luz
	28	4	2019	21:20	Bridgton	EEUU	Luz
	27	4	2019	13:30	Littleton	EEUU	Luz
	27	4	2019	0:24	Dayton	EEUU	Luz
	26	4	2019	23:00	NJ (above; in-flight @ 30K feet)	EEUU	Luz
	26	4	2019	22:30	Seven Mile Beach (Grand Cayman Island)	Grand Cayman Island	Luz
	26	4	2019	14:09	West Palm Beach	EEUU	Luz
	25	4	2019	23:30	Cloquet	EEUU	Luz
	25	4	2019	20:30	Fairacres	EEUU	Luz
	25	4	2019	20:00	Mount Shasta	EEUU	Luz
	25	4	2019	4:00	Winnipeg (Canada)	Canadá	Luz
	24	4	2019	22:21	Long Beach	EEUU	Luz
	24	4	2019	16:00	Tucson	EEUU	Luz
	24	4	2019	5:00	Lafayette	EEUU	Luz
	23	4	2019	0:00	New York City (Queens)	EEUU	Luz
	21	4	2019	22:35	North Wilkesboro	EEUU	Luz
	20	4	2019	21:40	Smethwick, Birmingham Weymouth (UK/England)	Reino Unido	Luz
	20	4	2019	20:00	Jacksonville	EEUU	Luz
	20	4	2019	19:45	Valparaiso	EEUU	Luz
	19	4	2019	19:15	Whittier	EEUU	Luz
	19	4	2019	3:30	St. Francis	EEUU	Luz
	19	4	2019	2:00	Corpus Christi	EEUU	Luz
	18	4	2019	21:00	Cochrane (Canada)	Canadá	Luz
	17	4	2019	21:08	New York City (Brooklyn)	EEUU	Luz
	17	4	2019	20:15	Kissimmee	EEUU	Luz
	17	4	2019	20:10	Tucson	EEUU	Luz
	17	4	2019	7:04	Republic	EEUU	Luz
	16	4	2019	23:50	Richmond	EEUU	Luz
	16	4	2019	23:00	Vineland	EEUU	Luz
	16	4	2019	22:00	Macomb	EEUU	Luz
	16	4	2019	21:30	Knoxville	EEUU	Luz
	15	4	2019	22:00	Leeds	EEUU	Luz
	15	4	2019	2:00	Twin Falls	EEUU	Luz
	15	4	2019	0:00	Oregon	EEUU	Luz
	14	4	2019	19:35	El Cajon	EEUU	Luz
	14	4	2019	18:53	Encino	EEUU	Luz
	13	4	2019	20:30	Crofton	EEUU	Luz
	13	4	2019	3:00	Centerville	EEUU	Luz
	12	4	2019	23:00	Tampa	EEUU	Luz
	12	4	2019	20:20	Fouke (5-10 miles south of)	EEUU	Luz
	11	4	2019	0:56	Aloha	EEUU	Luz
	10	4	2019	19:00	Mesa	EEUU	Luz
	10	4	2019	8:57	Jacksonville	EEUU	Luz
	10	4	2019	8:45	Springhill	EEUU	Luz
	10	4	2019	1:00	Desert Hot Springs	EEUU	Luz
	9	4	2019	20:45	Converse	EEUU	Luz
	8	4	2019	19:00	Sylvan Lake (Canada)	Canadá	Luz
	8	4	2019	4:15	Baker	EEUU	Luz
	7	4	2019	20:49	Lee's Summit	EEUU	Luz
	7	4	2019	20:49	Minneapolis	EEUU	Luz
	7	4	2019	20:25	Las Vegas	EEUU	Luz
	7	4	2019	20:00	Harrisburg	EEUU	Luz
	7	4	2019	19:00	Mary Esther	EEUU	Luz
	6	4	2019	21:43	Los Angeles	EEUU	Luz
	6	4	2019	20:30	Waterville	EEUU	Luz
	5	4	2019	1:00	Salinas	EEUU	Luz
	4	4	2019	23:00	Sandy Hook	EEUU	Luz
	4	4	2019	7:50	Fletcher	EEUU	Luz
	4	4	2019	6:55	Norfolk	EEUU	Luz
	4	4	2019	2:00	Portsmouth	EEUU	Luz
	3	4	2019	23:00	Earle	EEUU	Luz
	3	4	2019	22:30	Silverton	EEUU	Luz
	3	4	2019	21:45	Englewood	EEUU	Luz
	2	4	2019	20:00	Fridley	EEUU	Luz
	2	4	2019	19:00	Great Falls	EEUU	Luz
	1	4	2019	20:58	Deseronto (Canada)	Canadá	Luz
	1	4	2019	19:00	Worth	EEUU	Luz
	1	4	2019	7:00	St. Louis	EEUU	Luz
	31	3	2019	21:45	Glastonbury (UK/England)	Reino Unido	Luz
	31	3	2019	17:50	Seattle	EEUU	Luz
	30	3	2019	23:32	Citrus Springs	EEUU	Luz
	30	3	2019	22:20	Vancouver	EEUU	Luz
	29	3	2019	22:15	Alpine	EEUU	Luz
	29	3	2019	21:34	Depoe Bay	EEUU	Luz
	29	3	2019	20:10	Parkersburg	EEUU	Luz
	29	3	2019	14:00	Murfreesboro	EEUU	Luz
	29	3	2019	6:52	Atlanta	EEUU	Luz
	29	3	2019	6:40	Atlanta (downtown)	EEUU	Luz
	28	3	2019	6:20	Liberty Town	EEUU	Luz
	28	3	2019	6:13	Cornish	EEUU	Luz
	28	3	2019	1:00	Helena	EEUU	Luz
	28	3	2019	1:00	Helena	EEUU	Luz
	28	3	2019	0:00	No especificado	EEUU	Luz
	26	3	2019	21:00	Hanna City	EEUU	Luz
	25	3	2019	22:10	Crofton	EEUU	Luz
	25	3	2019	22:05	Hurst	EEUU	Luz
	25	3	2019	22:00	Jackson	EEUU	Luz
	24	3	2019	16:42	Tempe	EEUU	Luz
	24	3	2019	2:00	Ocean Shores	EEUU	Luz
	23	3	2019	21:30	Eloy	EEUU	Luz
	23	3	2019	21:00	Piketon	EEUU	Luz
	23	3	2019	21:00	Ocean Shores/copalis beach	EEUU	Luz
	23	3	2019	20:45	Braintree	EEUU	Luz
	23	3	2019	16:00	Baltimore	EEUU	Luz
	23	3	2019	9:20	Reading	EEUU	Luz
	22	3	2019	21:15	South Weymouth	EEUU	Luz
	22	3	2019	20:45	Palm Coast	EEUU	Luz
	21	3	2019	4:30	Turners Falls	EEUU	Luz
	19	3	2019	23:00	Hobart	EEUU	Luz
	19	3	2019	21:00	Gilroy	EEUU	Luz
	18	3	2019	20:00	Mililani	EEUU	Luz
	18	3	2019	6:45	Blackwell	EEUU	Luz
	16	3	2019	20:30	Peoria	EEUU	Luz
	16	3	2019	5:00	NEW PRAGUE	EEUU	Luz
	15	3	2019	22:52	Fort Lauderdale	EEUU	Luz
	15	3	2019	21:30	Bunker Hill	EEUU	Luz
	15	3	2019	18:44	Nicosia	Cyprus	Luz
	14	3	2019	21:00	Port Saint Lucie	EEUU	Luz
	14	3	2019	21:00	Fellsmere	EEUU	Luz
	12	3	2019	21:20	New Richmond	EEUU	Luz
	12	3	2019	6:50	Perkasie	EEUU	Luz
	12	3	2019	6:20	Keighley (UK/England)	Reino Unido	Luz
	11	3	2019	23:00	Forest Hill	EEUU	Luz
	11	3	2019	22:29	Davie	EEUU	Luz
	10	3	2019	23:40	Arnold	EEUU	Luz
	10	3	2019	23:40	Boise	EEUU	Luz
	10	3	2019	22:00	Ontonagon	EEUU	Luz
	10	3	2019	20:15	Anchorage	EEUU	Luz
	9	3	2019	15:06	Gaziantep (Turkey)	Turquía	Luz
	9	3	2019	6:35	Layton	EEUU	Luz
	7	3	2019	20:00	Spanaway	EEUU	Luz
	6	3	2019	21:30	Virginia Beach	EEUU	Luz
	5	3	2019	21:27	Coronado Island	Tijuana b.c	Luz
	5	3	2019	0:40	Downey	EEUU	Luz
	4	3	2019	21:00	Silverthorne	EEUU	Luz
	3	3	2019	22:40	Killingworth	EEUU	Luz
	3	3	2019	21:00	Fairmount	EEUU	Luz
	2	3	2019	22:50	Pittsburgh	EEUU	Luz
	1	3	2019	19:12	East Wenatchee	EEUU	Luz
	28	2	2019	16:24	Watervliet	EEUU	Luz
	28	2	2019	5:59	Maple Valley	EEUU	Luz
	28	2	2019	2:45	Wilmington	EEUU	Luz
	27	2	2019	19:35	Cape Coral	EEUU	Luz
	27	2	2019	19:00	Decatur	EEUU	Luz
	26	2	2019	22:50	Kula	EEUU	Luz
	26	2	2019	22:00	Glidden	EEUU	Luz
	26	2	2019	1:19	Seminole	EEUU	Luz
	25	2	2019	18:30	Cheney	EEUU	Luz
	24	2	2019	20:25	Mount Juliet	EEUU	Luz
	24	2	2019	11:05	San Diego	EEUU	Luz
	24	2	2019	8:30	Route 22 bavington exit	EEUU	Luz
	23	2	2019	23:40	Freehold	EEUU	Luz
	23	2	2019	19:45	Little Lorraine (Canada)	Canadá	Luz
	22	2	2019	20:10	Tolar	EEUU	Luz
	22	2	2019	6:30	Fort Atkinson	EEUU	Luz
	20	2	2019	19:35	Nokomis	EEUU	Luz
	19	2	2019	21:00	Melbourne	EEUU	Luz
	19	2	2019	20:30	Syracuse	EEUU	Luz
	19	2	2019	0:00	Albuquerque	EEUU	Luz
	17	2	2019	7:02	Coachella	EEUU	Luz
	16	2	2019	20:15	Farr West	EEUU	Luz
	16	2	2019	0:30	Clinton	EEUU	Luz
	13	2	2019	21:30	Saint Charles	EEUU	Luz
	13	2	2019	21:00	Vancouver	EEUU	Luz
	13	2	2019	17:00	Conyers	EEUU	Luz
	13	2	2019	0:08	Auburn	EEUU	Luz
	12	2	2019	6:00	Bristol (UK/England)	Reino Unido	Luz
	10	2	2019	20:20	Kalispell	EEUU	Luz
	9	2	2019	22:40	Jarvis (Canada)	Canadá	Luz
	9	2	2019	18:45	Burlington	EEUU	Luz
	9	2	2019	6:00	Palm Coast	EEUU	Luz
	8	2	2019	3:00	Palmyra	EEUU	Luz
	7	2	2019	21:41	Fort Myers	EEUU	Luz
	6	2	2019	21:00	Pembroke Pines	EEUU	Luz
	6	2	2019	18:30	Gilbert	EEUU	Luz
	6	2	2019	18:30	Gilbert	EEUU	Luz
	5	2	2019	23:08	San Luis Obispo	EEUU	Luz
	5	2	2019	23:02	Nipomo	EEUU	Luz
	5	2	2019	22:10	Aptos	EEUU	Luz
	5	2	2019	19:15	Lee	EEUU	Luz
	3	2	2019	0:00	Pecks Pond	EEUU	Luz
	3	2	2019	23:00	Spruce Grove (Canada)	Canadá	Luz
	31	1	2019	21:00	Las Vegas	EEUU	Luz
	30	1	2019	7:10	Snohomish	EEUU	Luz
	30	1	2019	5:30	Kenilworth	EEUU	Luz
	29	1	2019	23:30	Sumner	EEUU	Luz
	29	1	2019	19:40	Twin Falls	EEUU	Luz
	29	1	2019	5:35	Clermont	EEUU	Luz
	28	1	2019	21:00	Chino	EEUU	Luz
	28	1	2019	21:00	Waterbury	EEUU	Luz
	26	1	2019	19:23	Hayden	EEUU	Luz
	26	1	2019	0:30	Haiku (Maui)	EEUU	Luz
	25	1	2019	19:00	Puyallup	EEUU	Luz
	25	1	2019	18:20	Seattle	EEUU	Luz
	25	1	2019	6:30	Burlington (Ontario)(Canada)	Canadá	Luz
	25	1	2019	6:30	Travelers Rest	EEUU	Luz
	24	1	2019	18:49	Oakland	EEUU	Luz
	23	1	2019	19:22	Mountain Home	EEUU	Luz
	23	1	2019	19:00	Mansfield	EEUU	Luz
	22	1	2019	6:00	Annandale	EEUU	Luz
	22	1	2019	4:20	Desert Hot Springs	EEUU	Luz
	21	1	2019	21:48	Narragansett	EEUU	Luz
	21	1	2019	19:00	Moncks Corner	EEUU	Luz
	21	1	2019	6:00	Lakenheath (UK/England)	Reino Unido	Luz
	21	1	2019	0:32	Thomaston	EEUU	Luz
	20	1	2019	23:15	Saint James	EEUU	Luz
	20	1	2019	23:00	Toms River	EEUU	Luz
	20	1	2019	19:45	Wasilla	EEUU	Luz
	20	1	2019	3:00	Jackson (outskirts off interstate 2 passed)	EEUU	Luz
	20	1	2019	1:00	Essex	EEUU	Luz
	18	1	2019	23:00	Wailea	EEUU	Luz
	16	1	2019	17:45	Ely/Tower	EEUU	Luz
	16	1	2019	17:30	Wakefield	EEUU	Luz
	16	1	2019	16:50	Wayneboro	EEUU	Luz
	16	1	2019	2:00	Baxterville	EEUU	Luz
	16	1	2019	2:00	Portland	EEUU	Luz
	15	1	2019	21:00	Smith Valley	EEUU	Luz
	9	1	2019	6:36	Burlington	EEUU	Luz
	9	1	2019	6:33	Suffolk	EEUU	Luz
	8	1	2019	22:42	Covina	EEUU	Luz
	8	1	2019	22:00	Dateland	EEUU	Luz
	8	1	2019	19:19	Port Charlotte	EEUU	Luz
	8	1	2019	18:48	Colorado Springs	EEUU	Luz
	8	1	2019	6:35	Yorktown	EEUU	Luz
	7	1	2019	20:40	Oakland	EEUU	Luz
	7	1	2019	19:32	Hurricane	EEUU	Luz
	7	1	2019	14:39	Honolulu	EEUU	Luz
	7	1	2019	14:39	Honolulu	EEUU	Luz
	6	1	2019	16:40	Santa Fe	EEUU	Luz
	6	1	2019	1:30	Orlando	EEUU	Luz
	5	1	2019	20:24	Port St. Lucie	EEUU	Luz
	5	1	2019	10:30	Nashville	EEUU	Luz
	4	1	2019	20:20	Stayton	EEUU	Luz
	4	1	2019	18:43	Kingdom City	EEUU	Luz
	4	1	2019	7:15	Floweree (near)	EEUU	Luz
	4	1	2019	5:14	Herriman	EEUU	Luz
	4	1	2019	5:00	Hamersville	EEUU	Luz
	4	1	2019	5:00	Hamersville	EEUU	Luz
	4	1	2019	2:09	Spring Grove/Fox Lake	EEUU	Luz
	3	1	2019	22:30	Omaha	EEUU	Luz
	3	1	2019	6:00	Lidgerwood	EEUU	Luz
	3	1	2019	5:00	Rochester	EEUU	Luz
	1	1	2019	22:54	Burlington	EEUU	Luz
	1	1	2019	21:30	Dundee	EEUU	Luz
	1	1	2019	0:23	Boise	EEUU	Luz
	1	1	2019	0:00	Hamilton	EEUU	Luz
	1	1	2019	No especificado	Alborz, Karaj (Iran)	Irán	Luz
	31	12	2018	23:00	Ponte Vedra	EEUU	Luz
	31	12	2018	22:25	Homestead	EEUU	Luz
	31	12	2018	20:28	Kalaloch Campground	EEUU	Luz
	30	12	2018	20:30	Titusville	EEUU	Luz
	30	12	2018	18:00	Lodi	EEUU	Luz
	30	12	2018	5:00	Port Perry (Canada)	Canadá	Luz
	29	12	2018	23:08	Sugar Grove	EEUU	Luz
	29	12	2018	20:20	M1 southbound near j8	Reino Unido	Luz
	28	12	2018	21:00	Bozeman	EEUU	Luz
	28	12	2018	18:38	San Simeon	EEUU	Luz
	25	12	2018	21:00	Saint Louis Park	EEUU	Luz
	24	12	2018	22:30	Lenoir	EEUU	Luz
	24	12	2018	22:30	Bristol	EEUU	Luz
	24	12	2018	21:30	Southbury	EEUU	Luz
	24	12	2018	20:55	Bettendorf	EEUU	Luz
	24	12	2018	17:40	Great Falls	EEUU	Luz
	24	12	2018	0:02	Delran	EEUU	Luz
	23	12	2018	9:09	Lenoir	EEUU	Luz
	23	12	2018	0:03	Delran	EEUU	Luz
	22	12	2018	8:05	Coral Springs	EEUU	Luz
	22	12	2018	6:45	Spirit lake	EEUU	Luz
	20	12	2018	17:30	London (UK/England)	Reino Unido	Luz
	20	12	2018	6:38	Cowpens	EEUU	Luz
	19	12	2018	21:30	Estelline	EEUU	Luz
	19	12	2018	21:00	Miami	EEUU	Luz
	19	12	2018	17:41	Cotati	EEUU	Luz
	19	12	2018	6:00	Windsor	EEUU	Luz
	19	12	2018	5:30	Pendleton	EEUU	Luz
	19	12	2018	4:00	Fresno	EEUU	Luz
	18	12	2018	22:30	St. Augustine	EEUU	Luz
	18	12	2018	21:00	Beaver dam	EEUU	Luz
	18	12	2018	16:35	Mountain View	EEUU	Luz
	17	12	2018	22:00	Redkey	EEUU	Luz
	16	12	2018	23:45	Jacksonville	EEUU	Luz
	16	12	2018	19:15	Forest Park	EEUU	Luz
	15	12	2018	18:00	Pittsburgh	EEUU	Luz
	15	12	2018	6:00	Lake Villa	EEUU	Luz
	14	12	2018	23:30	Albuquerque	EEUU	Luz
	14	12	2018	18:00	Makawao	EEUU	Luz
	14	12	2018	3:15	Centreville	EEUU	Luz
	13	12	2018	21:00	Glendale	EEUU	Luz
	13	12	2018	19:50	Buckeye	EEUU	Luz
	13	12	2018	19:00	Ruidoso	EEUU	Luz
	13	12	2018	18:25	Tucson	EEUU	Luz
	13	12	2018	16:00	Mountain Home	EEUU	Luz
	12	12	2018	20:56	Colby	EEUU	Luz
	12	12	2018	17:30	Caro	EEUU	Luz
	12	12	2018	No especificado	Lenoir	EEUU	Luz
	11	12	2018	18:30	Longmont	EEUU	Luz
	10	12	2018	22:00	Beaumont	EEUU	Luz
	10	12	2018	20:47	North Branch	EEUU	Luz
	10	12	2018	20:30	South Amboy	EEUU	Luz
	10	12	2018	16:30	Kent	EEUU	Luz
	9	12	2018	22:00	Lakeville	EEUU	Luz
	9	12	2018	3:00	Shakopee	EEUU	Luz
	9	12	2018	1:00	North Brevard	EEUU	Luz
	8	12	2018	23:00	Santa Fe	EEUU	Luz
	8	12	2018	21:50	Rachel	EEUU	Luz
	7	12	2018	22:00	Stafford	EEUU	Luz
	7	12	2018	19:04	Louisville	EEUU	Luz
	7	12	2018	13:00	Panama City Beach	EEUU	Luz
	7	12	2018	6:00	Edmonton (Canada)	Canadá	Luz
	4	12	2018	23:30	Las Vegas	EEUU	Luz
	4	12	2018	20:54	Galveston	EEUU	Luz
	4	12	2018	18:12	Ozark	EEUU	Luz
	2	12	2018	6:08	Philadelphia	EEUU	Luz
	1	12	2018	11:00	Clayton	EEUU	Luz
	1	12	2018	3:45	Lanexa	EEUU	Luz
	30	11	2018	23:30	Las Vegas	EEUU	Luz
	30	11	2018	9:00	Anchorage	EEUU	Luz
	29	11	2018	4:15	Las Cruces	EEUU	Luz
	28	11	2018	23:00	McMinnville	EEUU	Luz
	28	11	2018	22:00	Bridgeport	EEUU	Luz
	28	11	2018	17:28	Stratford	EEUU	Luz
	27	11	2018	21:52	Tucson	EEUU	Luz
	27	11	2018	5:05	Eufaula	EEUU	Luz
	25	11	2018	23:30	Hermitage	EEUU	Luz
	25	11	2018	20:15	Cathedral City	EEUU	Luz
	25	11	2018	20:03	Phoenix	EEUU	Luz
	25	11	2018	14:00	Springfield/Tallaght (Ireland	Irlanda	Luz
	24	11	2018	22:10	Auburn	EEUU	Luz
	23	11	2018	22:00	Scottsdale	EEUU	Luz
	23	11	2018	3:00	Pacific City	EEUU	Luz
	22	11	2018	23:00	Cocoa	EEUU	Luz
	22	11	2018	22:30	Jacksonville	EEUU	Luz
	22	11	2018	20:40	Gilbert	EEUU	Luz
	22	11	2018	18:50	Adairsville	EEUU	Luz
	22	11	2018	3:00	Phoenix	EEUU	Luz
	21	11	2018	20:30	Bethalto	EEUU	Luz
	21	11	2018	20:05	Salt Lake City	EEUU	Luz
	20	11	2018	6:29	Wallace	EEUU	Luz
	19	11	2018	18:40	Selleck	EEUU	Luz
	19	11	2018	18:20	Issaquah	EEUU	Luz
	18	11	2018	19:30	Delray Beach	EEUU	Luz
	18	11	2018	18:00	Mount Pleasant	EEUU	Luz
	17	11	2018	21:30	Franklin	EEUU	Luz
	17	11	2018	19:15	Anchorage	EEUU	Luz
	17	11	2018	11:00	Troy	EEUU	Luz
	17	11	2018	1:30	Beavercreek	EEUU	Luz
	16	11	2018	5:45	Gresham	EEUU	Luz
	14	11	2018	20:00	Pittsburgh	EEUU	Luz
	14	11	2018	5:00	Redfield	EEUU	Luz
	14	11	2018	4:45	Walden	EEUU	Luz
	12	11	2018	6:00	Woodstock	EEUU	Luz
	11	11	2018	19:30	Cutchogue	EEUU	Luz
	11	11	2018	8:00	Ardonia	EEUU	Luz
	8	11	2018	21:45	Columbus	EEUU	Luz
	8	11	2018	21:00	Hacienda Heights	EEUU	Luz
	8	11	2018	21:00	Salisbury (Canada)	Canadá	Luz
	8	11	2018	19:35	Tucson	EEUU	Luz
	7	11	2018	21:09	Olympia	EEUU	Luz
	6	11	2018	22:25	Fort Collins	EEUU	Luz
	6	11	2018	19:30	Amity	EEUU	Luz
	6	11	2018	17:36	Santaquin	EEUU	Luz
	5	11	2018	21:30	Roswell	EEUU	Luz
	4	11	2018	22:25	Middletown	EEUU	Luz
	3	11	2018	20:30	Laporte	EEUU	Luz
	3	11	2018	1:00	Oakhill	EEUU	Luz
	2	11	2018	19:20	Owasso	EEUU	Luz
	1	11	2018	22:00	Louisburg	EEUU	Luz
	1	11	2018	18:51	Indian Springs	EEUU	Luz
	1	11	2018	1:00	Davenport	EEUU	Luz
	31	10	2018	21:00	Erie	EEUU	Luz
	30	10	2018	20:00	Ft. Lauderdale	EEUU	Luz
	29	10	2018	20:15	Soldotna	EEUU	Luz
	29	10	2018	7:23	Beamsville (Canada)	Canadá	Luz
	28	10	2018	9:00	Forbush	EEUU	Luz
	25	10	2018	21:55	Latchi	Cyprus	Luz
	25	10	2018	4:22	Newburgh	EEUU	Luz
	24	10	2018	10:30	Rice	EEUU	Luz
	23	10	2018	20:32	Hagerstown	EEUU	Luz
	23	10	2018	19:30	Salt Lake City	EEUU	Luz
	23	10	2018	7:17	Indianapolis	EEUU	Luz
	22	10	2018	23:35	West Branch	EEUU	Luz
	22	10	2018	11:44	Henry	EEUU	Luz
